"ville";"Nombre d'éditeurs"
"Zurich";1
"Zagreb";1
"Villefranche";1
"Vienne";1
"Venise";1
"Troyes";1
"Tours";2
"Stuttgart";1
"Stockholm";1
"Sofija";1
"Saint-Germain";1
"Saint-Brieuc";1
"Rouen";3
"Rome";2
"Rochester";1
"Poitiers";1
"Paris";447
"Ottawa";1
"New York";7
"Nevers";1
"Nantes";2
"Morges";1
"Montrouge";1
"Monaco";1
"Milan";1
"Marseille";2
"Lyon";3
"Lugano";1
"Los Angeles";1
"Lons-le-Saulnier";1
"Londres";9
"Liège";1
"Leverkusen";1
"Leipzig";1
"Lausanne";1
"Laon";2
"Kristiania";1
"Haarlem";1
"Genève";3
"Gand";1
"Fougères";1
"Évreux";1
"Edimbourg";1
"Dijon";3
"Dieppe";2
"Dieppe";1
"Coulommiers";1
"Compiègne";1
"Clermont-Ferrand";1
"Chicago";1
"Charleroi";1
"Castrocaro";1
"Cambridge";1
"Buenos Aires";1
"Bruxelles";13
"Bordeaux";3
"Berlin";4
"Beauvais";1
"Barcelone";1
"Bâle";1
"Arcis-sur-Aube";1
"Amiens";1
"Alençon";1
"Albi";1
