BERNARDI Claire,Claire ,BERNARDI,http://isni.org/isni/0000000408412974 ,http://catalogue.bnf.fr/ark:/12148/cb16686242m,http://www.idref.fr/159898994,http://viaf.org/viaf/301185997/#Bernard,Musée d'Orsay,auteur,contributeur
BREUNIG L.-C.,L.-C,BREUNIG,http://isni.org/isni/0000000109134361 ,http://catalogue.bnf.fr/ark:/12148/cb11893973z,http://www.idref.fr/026752166,http://viaf.org/viaf/71387974/#Breunig_,Barnard College et Columbia University ,auteur,
CAMPA Laurence,Laurence,CAMPA,http://isni.org/isni/0000000117423120  ,http://catalogue.bnf.fr/ark:/12148/cb13085469h,http://www.idref.fr/034801235,http://viaf.org/viaf/9983172/#Campa,Université Paris XII,auteur,
CAIZERGUES Pierre,Pierre,CAIZERGUES,http://isni.org/isni/0000000121178025 ,http://catalogue.bnf.fr/ark:/12148/cb11894824q,http://www.idref.fr/026762471,http://viaf.org/viaf/2467624/#Caizergues,Université Paul Valery de Montpellier,auteur,
DECAUDIN Michel,Michel,DECAUDIN,http://isni.org/isni/0000000108845727 ,http://catalogue.bnf.fr/ark:/12148/cb11899002d,http://www.idref.fr/026816253,http://viaf.org/viaf/31995242/#Décaudin,Université Paris-III-Sorbonne ,auteur,
DES CARS Laurence,Laurence,DES CARS,http://isni.org/isni/0000000081115432,http://catalogue.bnf.fr/ark:/12148/cb13537472q,http://www.idref.fr/050677233,http://viaf.org/viaf/32160434/#Des_Cars,Musée d'Orsay,auteur,
GAUTIER Flaurette,Flaurette,GAUTIER,,,,,Université Paris 1-Panthéon-Sorbonne,auteur,contributeur
GIRARDEAU Cécile,Cécile,GIRARDEAU,http://isni.org/isni/0000000434314446,http://catalogue.bnf.fr/ark:/12148/cb167616021,http://www.idref.fr/183436202,http://viaf.org/viaf/308705484/#Girardeau,Musée de l'Orangerie,auteur,
GISPERT Marie,Marie,GISPERT,http://isni.org/isni/0000000116385572 ,http://catalogue.bnf.fr/ark:/12148/cb14526956j,http://www.idref.fr/073435511,http://viaf.org/viaf/49458767/#Gispert,Université Paris 1-Panthéon-Sorbonne,auteur, contributeur
MOORE Catherine,Catherine,MOORE,http://isni.org/isni/0000000049141577,http://catalogue.bnf.fr/ark:/12148/cb16047536w,http://www.idref.fr/137548060,http://viaf.org/viaf/44198134/#Moore,Western Illinois University ,auteur,
MOORE Mark,Mark,MOORE,,,,,,auteur,
GRAS-ROBET Laurent,Lauren ,GRAS-ROBET,,,,,Université Paris 1-Panthéon-Sorbonne,auteur,contributeur
