Lettres parisiennes,,1918-1919
Mercure de France,,1921-1929
Revue de l'Amérique latine,,1922-1930 puis de manière occasionnelle
La Revue européenne,,1925-1929
La Nouvelle revue française,,1925-1930
"Les Nouvelles littéraires, artistiques et scientifiques",,1926-1930 puis 1932-1937
L'Art vivant,,occasionnellement 1926-1930 puis régulièrement 1931
Marianne,,1932-1937
Europe,,"Occasionnellement 1933-1935, régulièrement 1936-1939, occasionnellement 1946-1949"
Commune,,1935-1939
Les Lettres françaises,,1945-1948
Arts,,1945-1952
Musées de France,,1946-1953
