"nom_usage";"debut";"fin";"nombreArticles"
"Guillaume APOLLINAIRE";"1902";"1916";"434"
"Louis ARAGON";"1918";"1977";"167"
"Gabriel-Albert AURIER";"1885";"1892";"134"
"Charles BAUDELAIRE";"1846";"1935";"32"
"Léonce BÉNÉDITE";"1887";"1925";"160"
"George BESSON";"1904";"1961";"1592"
"Jacques-Emile BLANCHE";"1883";"1949";"415"
"Félix BRACQUEMOND";"1864";"1912";"39"
"Ricciotto CANUDO";"1895";"1924";"737"
"Marcel CARNÉ";"1861";"1948";"269"
"Jules-Antoine CASTAGNARY";"1857";"1912";"494"
"CHAMPFLEURY";"1843";"1890";"941"
"Louis CHERONNET";"1922";"1950";"854"
"Robert DEMACHY";"1892";"1936";"187"
"Maurice DENIS";"1890";"1943";"176"
"Jean DOLENT";"1860";"1907";"89"
"Edmond DURANTY";"1856";"1891";"789"
"Félix FÉNÉON";"1883";"1926";"331"
"André FONTAINAS";"1883";"1949";"457"
"Charles Joseph IMBERT";"1926";"1939";"84"
"Frantz JOURDAIN";"1877";"1935";"487"
"Ary LEBLOND";"1946";"1953";"54"
"Marius LEBLOND";"1914";"1953";"172"
"Marius-Ary LEBLOND";"1899";"1957";"755"
"André LHOTE";"1912";"1958";"411"
"Georges LIMBOUR";"1921";"1969";"438"
"Roger MARX";"1877";"1913";"1249"
"Joséphin PÉLADAN";"1881";"1922";"765"
"Léon ROSENTHAL";"1891";"1930";"465"
"Gustave SOULIER";"1893";"1936";"207"
"Félix VALLOTTON";"1890";"1923";"42"
"Teodor de WYZEWA";"1885";"1917";"1259"
