"ville";"coordonnees-decimales";"Pays";"ISO-3166-1";"ISO-3166-alpha3";"Nombre-editeurs"
"Stuttgart";"48.7766,9.1777";"Allemagne";"Germany";"DEU";"1"
"Leverkusen";"51.033,7";"Allemagne";"Germany";"DEU";"1"
"Leipzig";"51.3403,12.3748";"Allemagne";"Germany";"DEU";"1"
"Berlin";"52.516667,13.383333";"Allemagne";"Germany";"DEU";"4"
"Rochester";"51.3883,0.4982";"Angleterre";"United Kingdom";"GBR";"1"
"Londres";"51.507222,-0.1275";"Angleterre";"United Kingdom";"GBR";"9"
"Edimbourg";"55.95477,-3.2018";"Angleterre";"United Kingdom";"GBR";"1"
"Cambridge";"52.208056,0.1225";"Angleterre";"United Kingdom";"GBR";"1"
"Buenos Aires";"-34.608051,-58.370256";"Argentine";"Argentina";"ARG";"1"
"Vienne";"48.20833,16.373064";"Autriche";"Austria";"AUT";"1"
"Liège";"50.633,5.567";"Belgique";"Belgium";"BEL";"1"
"Gand";"51.05,3.733";"Belgique";"Belgium";"BEL";"1"
"Charleroi";"50.4,4.433";"Belgique";"Belgium";"BEL";"1"
"Bruxelles";"50.85,4.34878";"Belgique";"Belgium";"BEL";"13"
"Sofia";"42.697222,23.316667";"Bulgarie";"Bulgaria";"BGR";"1"
"Ottawa";"5.42231,-75.69529";"Canada";"Canada";"CAN";"1"
"Zagreb";"45.813113,15.977254";"Croatie";"Croatia";"HRV";"1"
"Barcelone";"41.383333,2.166667";"Espagne";"Spain";"ESP";"1"
"Villefranche";"45.990278,4.720278";"France";"France";"FRA";"1"
"Troyes";"48.297419,4.074263";"France";"France";"FRA";"1"
"Tours";"47.393611,0.689167";"France";"France";"FRA";"2"
"Saint-Germain";"48.8989,2.0938";"France";"France";"FRA";"1"
"Saint-Brieuc";"48.513611,-2.765277";"France";"France";"FRA";"1"
"Rouen";"49.443232,1.099971";"France";"France";"FRA";"3"
"Poitiers";"46.581945,0.336112";"France";"France";"FRA";"1"
"Paris";"48.856578,2.351828";"France";"France";"FRA";"447"
"Nevers";"46.9644333624,3.17459118159";"France";"France";"FRA";"1"
"Nantes";"47.2321830557,-1.54780684906";"France";"France";"FRA";"2"
"Montrouge";"48.8152695492,2.31739229511";"France";"France";"FRA";"1"
"Marseille";"43.3495227907,5.43359654239";"France";"France";"FRA";"2"
"Lyon";"45.7698747385,4.82857516905";"France";"France";"FRA";"3"
"Lons-le-Saulnier";"46.6748423385,5.55797705223";"France";"France";"FRA";"1"
"Laon";"48.6934411697,1.0846058718";"France";"France";"FRA";"2"
"Fougères";"48.3524114648,-1.19508479795";"France";"France";"FRA";"1"
"Evreux";"49.0199173611,1.14145974873";"France";"France";"FRA";"1"
"Dijon";"47.3229417955,5.03751223305";"France";"France";"FRA";"3"
"Dieppe";"49.9220322134,1.08701833857";"France";"France";"FRA";"2"
"Coulommiers";"48.7888234084,3.09542739342";"France";"France";"FRA";"1"
"Compiègne";"49.3992378489,2.8537782842";"France";"France";"FRA";"1"
"Clermont-Ferrand";"45.7859081171,3.1155334528";"France";"France";"FRA";"1"
"Bordeaux";"44.8579384389,-0.573595011059";"France";"France";"FRA";"3"
"Beauvais";"49.4271955038,2.08477380746";"France";"France";"FRA";"1"
"Arcis-sur-Aube";"48.5834551294,4.16090274297";"France";"France";"FRA";"1"
"Amiens";"49.9004650343,2.29084588963";"France";"France";"FRA";"1"
"Alençon";"48.4294187763,0.088345615329";"France";"France";"FRA";"1"
"Albi";"43.9256363558,2.14727658204";"France";"France";"FRA";"1"
"Venise";"45.4398,12.3319";"Italie";"Italia";"ITA";"1"
"Rome";"41.888732,12.48657";"Italie";"Italia";"ITA";"2"
"Milan";"45.4666,9.1666";"Italie";"Italia";"ITA";"1"
"Castrocaro";"44.18417,11.94389";"Italie";"Italia";"ITA";"1"
"Monaco";"43.7325,7.41833";"Monaco";"Monaco";"MCO";"1"
"Oslo";"59.911111,10.752778";"Norvège";"Norway";"NOR";"1"
"Haarlem";"52.380278,4.640556";"Pays-Bas";"Netherlands";"NLD";"1"
"Stockholm";"59.329444,18.068611";"Suède";"Sweden";"SWE";"1"
"Zurich";"47.377895,8.541183";"Suisse";"Switzerland";"CHE";"1"
"Morges";"46.509,6.499";"Suisse";"Switzerland";"CHE";"1"
"Lugano";"46.006726,8.951401";"Suisse";"Switzerland";"CHE";"1"
"Lausanne";"46.521,6.631";"Suisse";"Switzerland";"CHE";"1"
"Genève";"46.200013,6.149985";"Suisse";"Switzerland";"CHE";"3"
"Bâle";"47.567,7.583";"Suisse";"Switzerland";"CHE";"1"
"New York";"40.714353,-74.005973";"Etats-Unis";"United States";"USA";"7"
"Los Angeles";"34.05,-118.25";"Etats-Unis";"United States";"USA";"1"
"Chicago";"41.9,-87.65";"Etats-Unis";"United States";"USA";"1"
